fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,275.883671988745,36,1578,3123.527469582,1643,0,25051,2797465,1033709,72416,60088,3337,219.87229,11061.148924182,77372,99324,126218,201535,295,170257,262592,26694,7717.74916459996,1575613,45,45.5,90.09,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,272.749270786579,41,1897,4338.2746947,261,4,46822,5478451,1023720,78642,68388,5397,645.14761,19925.8574576001,130895,204964,188707,354472,2000,247317,456039,47083,14942.4351529001,3515254,36,39.83,96.47,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,280.510904946768,35,2827,5732.628368793,409,1,58293,5531574,899621,95632,213157,17971,664.5013,21913.7979539931,153733,259577,258594,488851,942,326376,608609,58702,15516.6682852001,3078428,48,46.83,91.01,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0213,KURNOOL,3495353,268.434464403469,27,2012,3615.443463829,390,4,55599,4526551,846767,109024,86239,7885,501.3384,16267.6047966289,164680,279400,267230,526263,192,346426,661838,55989,12150.8229327999,2489043,37,73.91,93.62,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,275.968010129187,36,1581,3123.527469582,1666,0,25101,2820364,1042563,72414,60242,3337,219.87229,11126.7021687819,77480,99485,126232,201558,310,170280,262624,26767,7783.30240919993,1586895,45,45.62,89.94,100,NA
2025-2026,July,02,ANDHRA PRADESH,0210,CHITTOOR,2940884,271.798738600368,29,912,6108.961320886,2669,0,55322,2474093,684877,110489,78097,13545,545.27329,13378.788176686,85089,124014,209790,388656,232,276318,495874,57991,6724.5535658,1545797,63,62.67,84.31,100,NA
2025-2026,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7350488,288.31391715997,41,4006,5080.012239435,299,1,86360,7869433,148511,9926,7244023,421218,417.88654,28186.5693200143,189842,329384,234105,460113,7810,257895,495059,86659,22688.6705405793,4127727,84,67.59,81.48,100,NA
2025-2026,July,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,3591201,273.970826850743,33,2325,5137.985600158,427,2,45681,3983234,529908,65141,228749,25215,346.09736,16396.9820853579,117581,200437,215696,410857,563,284562,528476,46108,10912.8991251999,2154834,57,41.54,88.5,100,NA
2025-2026,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10494611,213.226152114343,38,6299,5506.496166394,2150,1,51638,10513696,1162151,73298,258281,17807,407.4879,28331.9334921936,276489,395270,345973,634326,696,389045,694935,53788,22417.9494257996,7471068,44,7.48,90.43,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,274.012454253805,47,205,706.327450626,287,0,5749,1170698,88335,4349,8114,486,113.61871,4027.8044823262,24900,33786,31832,50964,212,37022,57264,6036,3207.85832170021,865859,53,4.96,97.88,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,275.776776172296,36,1583,3156.379716382,4192,0,22699,2853704,1055317,72402,60583,3337,220.87563,11247.1082390819,77672,99783,126252,201576,371,170276,262603,26891,7869.85289269986,1603879,45,45.84,89.9,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,281.078720644587,38,1971,4171.175270865,1069,0,50060,5313160,1953285,122467,76864,5829,407.80442,19513.1418446649,138364,236342,182605,337171,3356,223646,396175,51129,14934.1621537999,2857430,19,86.02,92.51,100,NA
2025-2026,July,02,ANDHRA PRADESH,0207,GUNTUR,1361444,252.703482794002,30,470,1647.18227932,315,21,24569,1703592,695278,70908,48463,5699,225.63304,6177.85163592,56425,89574,91063,159662,192,138258,232001,24884,4305.0363166,986467,33,94.62,96.42,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,272.459063033806,43,1922,4338.3194947,962,4,46627,5775107,1080410,78697,71608,5405,647.55023,20720.6721460998,132224,207445,188929,354923,2955,247460,456341,47589,15734.8024213998,3715686,36,40.36,96.16,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,280.081713871699,37,2881,5882.803317854,927,1,58682,5903184,955203,95719,232000,17993,665.33804,23081.8802780539,156863,265322,259004,489672,1460,326766,609429,59609,16533.7389201999,3287745,48,47.57,91.07,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7350488,288.660156753431,41,4016,5080.713669435,998,1,86375,8014102,151479,9928,7370546,421413,417.88654,28632.1196050148,191062,331391,234243,460336,8368,257984,495207,87373,23133.5193955798,4205674,84,67.52,81.45,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,278.743660304735,37,3020,4313.541950718,4611,4,44386,8665661,2848971,205729,942699,54222,274.7006,28743.2232117179,228824,365636,320575,598436,2175,384279,695128,48997,24154.9806609999,5066989,40,38.99,93.81,100,NA
2025-2026,July,02,ANDHRA PRADESH,0219,BAPATLA,3603589,273.859806762153,30,1937,2843.73043064,3403,1,47384,4860849,1592946,140363,180512,15394,212.78666,16368.4287690401,161444,274887,216039,402330,660,275353,487411,50787,13311.9116784001,2624464,19,79.11,93.95,100,NA
2025-2026,July,02,ANDHRA PRADESH,0220,PALNADU,2889494,275.721121986506,29,2010,4599.854277825,1364,4,46057,5624319,1158466,123588,517206,45442,289.28625,20396.5759787252,191483,322531,275153,496027,1654,354150,612282,47421,15507.4354509002,2999425,23,81.37,92.74,100,NA
2025-2026,July,02,ANDHRA PRADESH,0221,NANDYAL,3404104,260.37177348663,32,1627,3587.533085429,2533,1,49230,4841542,1318550,113561,218259,14111,371.68745,16565.229304929,149637,247073,214922,416017,489,275413,516911,51763,12606.0087695,2904406,35,73.36,95.19,100,NA
2025-2026,July,02,ANDHRA PRADESH,0222,SRI SATHYA SAI,3591201,275.8328099952,35,2357,5165.905016483,2039,2,44608,4217904,558618,65213,242103,25252,346.09736,17146.3655025829,120170,205217,216130,411719,751,284769,528947,46647,11634.3631260999,2280869,57,41.49,88.11,100,NA
2025-2026,July,02,ANDHRA PRADESH,0224,TIRUPATI,3786749,280.254878658417,32,1668,5908.94857383199,4076,9,40829,4069998,1587908,150397,301823,32310,333.09648,17648.413010132,123600,174459,218098,390025,1640,275172,476194,44905,11406.3679563,2679639,43,27.36,95.84,100,NA
2025-2026,July,02,ANDHRA PRADESH,0226,KAKINADA,3498428,281.258658275096,29,2768,9251.70686768099,2392,0,32685,4079808,1156195,93218,75765,8730,252.80041,20979.320518681,138198,189386,206112,353369,169,297303,487366,35077,11474.813241,2088781,44,53.19,86.17,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,274.10575618717,46,205,701.679766326,69,0,5933,1151580,86407,4348,7923,486,113.11871,3971.34554342621,24871,33705,31828,50968,160,37032,57290,6002,3156.54706710021,851623,53,4.98,97.85,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,281.102676390493,38,1969,4096.071203765,179,0,50871,5283859,1944922,122463,76525,5823,407.80442,19356.9446894649,138225,236083,182598,337159,3268,223634,396132,51050,14853.0690656999,2841996,19,86.39,92.92,100,NA
2025-2026,July,02,ANDHRA PRADESH,0218,NTR,2266753,293.180727914406,28,1744,4023.711595381,59,2,32328,3448922,1234624,124489,270566,24231,190.77163,14326.0578501811,122813,197681,178682,331609,261,217498,393825,32387,10111.5746248001,2092379,30,76.9,93.4,100,NA
2025-2026,July,02,ANDHRA PRADESH,0223,ANNAMAYYA,3488638,272.826555713794,35,1082,3056.179102927,387,2,45963,3976403,754306,68155,152900,12923,354.82596,14259.688409127,112013,164564,201794,350754,493,255914,433333,46350,10848.6833462,2326435,55,64.26,90.72,100,NA
2025-2026,July,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5625831,261.315472699031,47,3596,4436.264458993,323,0,61376,7984457,926626,45666,3074367,140145,295.47694,25596.3629509938,169642,279816,195264,378621,5329,217433,411054,61699,20864.6215520008,4759519,77,43.1,92.28,100,NA
2025-2026,July,02,ANDHRA PRADESH,0204,EAST GODAVARI,2375101,275.778273952542,36,1583,3156.379716382,4293,0,22602,2859174,1057869,72408,60689,3337,220.87563,11262.2360528818,77693,99819,126258,201587,375,170277,262604,26895,7884.98070649985,1607172,45,45.68,89.45,100,NA
2025-2026,July,02,ANDHRA PRADESH,0209,NELLORE,3725779,234.747061138691,31,1516,5044.92189633,4781,4,57301,5146888,1352203,139150,210583,30096,490.20624,17617.29645643,161652,230855,273630,480986,838,361987,615490,62082,12082.1683201,3254931,38,45.37,83.92,100,NA
2025-2026,July,02,ANDHRA PRADESH,0210,CHITTOOR,2940884,272.142743933744,30,934,6124.533052222,5315,0,53265,2633420,723188,110556,82706,13550,545.27329,13836.467789522,87168,127505,210048,389114,286,276407,496020,58580,7166.66144730001,1642226,63,63.25,84.66,100,NA
2025-2026,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,10452016,236.165333968999,42,5911,9240.916422764,2881,0,64149,13328767,1146758,60020,769031,40175,821.93264,41540.7761622637,313163,440090,381091,673518,2206,444310,757747,67030,31477.9270994997,9583253,49,22.9,94.11,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,272.952269270748,47,205,705.463766326,145,0,5873,1170376,88329,4350,8114,486,113.11871,4013.15032732621,24900,33786,31833,50975,211,37034,57295,6018,3194.56785100021,865619,53,4.96,97.88,100,NA
2025-2026,July,02,ANDHRA PRADESH,0205,WEST GODAVARI,2053642,283.274144778607,31,1165,1472.783112324,2216,0,28900,2903067,824950,64679,22928,1907,239.12742,9935.54874892396,90912,128347,137633,237880,820,187740,309646,31116,8223.63821659997,1661654,36,87.42,90.87,100,NA
2025-2026,July,02,ANDHRA PRADESH,0208,PRAKASAM,6162035,250.159742906518,33,3727,6520.727460366,631,3,54887,9452943,2066564,200779,270904,22407,589.77979,30757.9651562657,283246,487306,379204,731510,599,457759,849704,55518,23647.4579058997,5351736,32,27.47,89.92,100,NA
2025-2026,July,02,ANDHRA PRADESH,0209,NELLORE,3725779,240.347111447863,30,1494,5044.87606633,3658,4,58333,4917564,1289568,139047,202314,30068,490.20624,17354.30533393,159904,227919,273417,480611,512,361961,615445,61991,11819.2230276,3106094,38,45.27,83.51,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,278.871888755453,37,2872,5866.745974454,807,1,58727,5861357,949608,95716,228392,17996,665.33804,22877.7609870539,156445,264597,258979,489627,1410,326729,609354,59534,16345.6769725999,3264009,48,47.47,91.16,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0213,KURNOOL,3495353,267.555224386755,28,2018,3638.022942079,1637,4,54497,4656068,865900,109058,88086,7891,501.5334,16597.1095270789,165643,281185,267227,526474,319,346442,662106,56134,12457.5531849999,2560020,38,74.04,93.47,100,NA
2025-2026,July,02,ANDHRA PRADESH,0216,KONASEEMA,2480173,296.650471088198,37,2371,3643.503684096,3022,0,28449,4357528,2127597,118156,37827,2386,244.15913,16814.2901538961,114737,158594,154346,256609,997,237179,367138,31471,12926.6273398001,2807122,33,89.31,93.29,100,NA
2025-2026,July,02,ANDHRA PRADESH,0220,PALNADU,2889494,275.180518377985,29,2009,4498.41476317,1192,4,46215,5580156,1148739,123566,512921,45431,289.28625,20143.2032202702,191165,321942,275101,495934,1595,354131,612244,47407,15355.5022071002,2974954,23,81.47,92.95,100,NA
2025-2026,July,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5625831,261.367295460264,47,3601,4463.71515359301,2950,0,59216,8027144,929596,45670,3107008,140157,295.47694,25739.5212690939,169801,280180,195282,378636,5558,217430,411035,62166,20980.3291755009,4783474,77,43.3,92.19,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,273.513805313026,46,205,705.463766326,101,0,5909,1161526,87593,4350,8017,486,113.11871,3995.51643862618,24882,33747,31829,50970,181,37034,57295,6010,3176.93396230018,859260,53,4.98,97.87,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,280.589907436729,38,1971,4152.547888065,364,0,50729,5298538,1949171,122468,76648,5827,407.80442,19427.5151777649,138308,236256,182601,337168,3302,223634,396164,51093,14867.1628696999,2849964,19,86.4,92.9,100,NA
2025-2026,July,02,ANDHRA PRADESH,0220,PALNADU,2889494,276.438882512493,28,2009,4487.65006007,933,4,46455,5513386,1133475,123543,508288,45428,289.28625,20018.0789570703,190699,321123,274975,495744,1346,354113,612225,47388,15241.1426470003,2939268,23,82.02,93.6,100,NA
2025-2026,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10494611,213.255916277494,38,6299,5536.609364024,2778,1,51103,10516623,1162389,73288,258527,17807,407.4879,28371.4180041237,276509,395313,345965,634280,715,389030,694883,53881,22427.3207400997,7472664,44,7.53,90.32,100,NA
2025-2026,July,02,ANDHRA PRADESH,0207,GUNTUR,1361444,254.099983179305,30,470,1647.67573932,491,21,24399,1705637,696184,70906,48594,5697,228.15562,6209.85468942,56428,89582,91062,159660,192,138278,232030,24890,4334.0233301,987758,33,94.62,96.42,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,280.608017515914,37,2884,5889.772577654,1282,1,58442,5911538,956656,95710,232764,17989,665.31254,23143.3347041539,156950,265474,259004,489615,1460,326761,609338,59724,16588.2495864999,3292316,48,47.53,90.91,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7350488,289.335172015154,42,4019,5081.616859835,1069,1,86469,8052273,152782,9929,7401382,421450,411.61664,28791.2914355148,191429,332009,234260,460381,8476,258020,495285,87538,23298.0579356798,4227625,84,67.51,81.47,100,NA
2025-2026,July,02,ANDHRA PRADESH,0221,NANDYAL,3404104,260.775992669811,32,1627,3606.983259229,2644,1,48360,4855809,1321235,113567,219259,14113,368.10642,16637.873801129,149723,247240,214937,416062,505,275431,516971,51004,12662.7841219,2913541,35,73.38,95.17,100,NA
2025-2026,July,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5625831,261.385143127182,47,3603,4468.10456809301,6865,0,55505,8059476,932206,45665,3125405,140166,295.47694,25829.8543859939,169882,280415,195294,378613,5740,217438,410996,62370,21066.2728779009,4801701,78,43.3,91.95,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,281.392991975773,38,1974,4205.633668852,4296,0,46245,5327991,1957736,122418,76960,5823,477.72153,19675.9484859519,138401,236373,182585,337039,3413,223428,395726,50541,14992.5932870999,2865169,19,85.73,92.05,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,280.542787775275,38,2901,5384.592243685,1566,1,58203,6055237,978114,95634,237953,17984,836.36281,23208.4857398849,158058,267554,259153,489307,1780,326015,606925,59769,16987.5306861999,3374242,48,47.8,90.67,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0214,ALLURI SITHARAMA RAJU,7350488,289.030959216856,42,4029,4891.115388541,1118,1,87103,8152388,154252,9930,7492838,421541,484.97228,28939.0129040209,192029,333105,234344,460494,8863,258062,495340,88221,23562.9252354799,4282343,84,67.08,80.89,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,279.053920005885,38,3037,4323.427878218,5036,4,44106,8810548,2889211,205762,963683,54254,332.31409,29241.9215362181,229910,367484,320722,598697,2438,384457,695452,49142,24586.1795680001,5155521,40,39.29,93.94,100,NA
2025-2026,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,10452016,236.336833727606,42,5920,9265.05851361899,5098,0,85740,13421609,1153381,60008,782256,40167,1003.83628,41989.1005395184,313742,441144,381126,673412,2391,444212,757440,90838,31720.2057458994,9649198,57,23.18,93.24,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,274.10499562269,47,205,710.600651126,457,0,7276,1190222,89720,4360,8336,487,151.40365,4124.4622621263,25013,33972,31900,51043,302,36973,57158,7733,3262.4579610003,880432,59,5.23,97.88,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,281.416940452561,38,1973,4205.633668852,4859,0,55708,5327618,1957622,122408,76960,5823,479.1889,19677.6421434519,138358,236263,182584,337019,3414,223408,395674,60567,14992.8195745999,2865107,21,85.27,91.54,100,NA
2025-2026,July,02,ANDHRA PRADESH,0211,Y.S.R,4080498,272.298346146464,44,1926,4318.9696293,1974,3,61761,5912422,1105849,78713,72713,5404,817.54602,21235.9429724997,132921,208678,189075,355148,3515,247503,456410,63735,16099.4273231997,3811131,48,40.56,96.09,100,NA
2025-2026,July,02,ANDHRA PRADESH,0215,ANAKAPALLI,5660945,282.7009948417,42,3194,4920.976138815,2556,3,60879,8128067,606790,35061,260053,16945,419.47913,28318.5815392149,191148,268960,238905,393660,1522,292760,462800,63435,22978.1262703999,5631520,59,20.44,93.35,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,278.80145317145,38,3041,4326.697168218,5138,4,55587,8849761,2898837,205760,974260,54269,352.24392,29352.2033584183,230070,367760,320727,598736,2512,384454,695478,60725,24673.2622702003,5179164,44,39.34,93.94,100,NA
2025-2026,July,02,ANDHRA PRADESH,0207,GUNTUR,1361444,253.265759765021,30,475,1648.24052932,691,21,24208,1716919,700900,70916,48794,5697,235.20158,6231.81005922001,56491,89676,91080,159688,214,138287,232042,24899,4348.36794990001,994620,33,94.4,96.13,100,NA
2025-2026,July,02,ANDHRA PRADESH,0216,KONASEEMA,2480173,296.775252288401,38,2373,3508.274512871,4174,0,27500,4410508,2151461,118172,38367,2386,268.71937,16866.2901270711,114900,158825,154370,256652,1189,237239,367233,31674,13089.2962442001,2842156,33,89.35,93.29,100,NA
2025-2026,July,02,ANDHRA PRADESH,0218,NTR,2266753,293.112694044683,28,1748,4044.529626981,1814,2,30567,3487689,1246875,124485,273100,24236,183.93002,14451.3188347811,123083,198204,178669,331580,299,217579,393954,32381,10222.8591878001,2115937,30,76.68,93.06,100,NA
2025-2026,July,02,ANDHRA PRADESH,0219,BAPATLA,3603589,274.558838341186,30,1943,2848.57038064,4466,1,45561,4935382,1614841,140389,182975,15408,259.35189,16658.44975754,162214,276250,216065,402398,738,275346,487430,50027,13550.5274869,2665995,19,79.06,93.82,100,NA
2025-2026,July,02,ANDHRA PRADESH,0224,TIRUPATI,3786749,280.398902203448,34,1687,5924.45217733199,4265,9,39904,4314743,1682465,150463,320285,32344,417.02853,18439.9727122321,125479,177555,218300,390372,2039,275216,476267,44169,12098.4920049001,2842777,44,27.37,95.93,100,NA
2025-2026,July,02,ANDHRA PRADESH,0201,SRIKAKULAM,10452016,236.230070618816,42,5917,9306.872930519,4310,0,63816,13378728,1150269,60008,775761,40173,889.48027,41800.9318028184,313488,440704,381115,673451,2290,444208,757501,68126,31604.5786022994,9619183,50,23.06,93.69,100,NA
2025-2026,July,02,ANDHRA PRADESH,0206,KRISHNA,2773732,280.899077564516,38,1974,4202.882516727,3115,0,47808,5321673,1955822,122416,76924,5825,407.80442,19559.2173047269,138414,236441,182577,337043,3387,223430,395750,50923,14948.5303679999,2862012,19,85.9,92.33,100,NA
2025-2026,July,02,ANDHRA PRADESH,0212,ANANTAPUR,5442361,279.739313005344,37,2890,5892.751907654,1414,1,58498,5948285,962176,95672,233607,17984,666.5488,23198.9923022539,157207,265941,259053,489512,1588,326617,608723,59912,16639.6915945999,3313901,48,47.48,90.75,100.01,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,279.029527725508,38,3027,4314.434760718,4681,4,44272,8756179,2871461,205752,957769,54231,275.99826,29022.7579312181,229467,366737,320652,598580,2329,384389,695330,48953,24432.3249105001,5121514,40,39.19,93.93,100,NA
2025-2026,July,02,ANDHRA PRADESH,0220,PALNADU,2889494,276.036923116023,29,2015,4767.276975525,1622,4,45906,5646794,1162466,123585,518260,45450,291.46388,20645.9772678252,191699,322891,275161,495982,1716,354160,612263,47528,15587.2364123002,3011705,23,81.36,92.71,100,NA
2025-2026,July,02,ANDHRA PRADESH,0225,PARVATHIPURAM MANYAM,5625831,261.383256269401,47,3604,4468.10456809301,9343,0,52891,8071998,933258,45685,3133313,140168,295.47694,25862.432726494,169923,280522,195312,378628,5811,217434,410981,62234,21098.851218401,4809010,78,43.38,91.95,100,NA
2025-2026,July,02,ANDHRA PRADESH,0208,PRAKASAM,6162035,251.387536289195,34,3752,6496.046679866,1007,3,74375,9803054,2133560,200891,278924,22423,915.02653,32054.7291415654,285712,491696,379470,731970,925,457806,849786,75382,24643.6559316994,5554013,43,28.06,89.45,100,NA
2025-2026,July,02,ANDHRA PRADESH,0217,ELURU,5861794,279.052031406131,38,3038,4326.697168218,5036,4,55782,8825793,2894273,205753,967874,54267,351.65521,29306.9070324181,229935,367544,320719,598715,2458,384441,695447,60818,24628.5546542001,5164627,44,39.26,93.94,100,NA
2025-2026,July,02,ANDHRA PRADESH,0202,VIZIANAGARAM,10494611,213.324759981702,38,6300,5554.871085164,3727,1,67691,10532593,1163944,73288,259032,17807,740.84008,28764.3399022636,276601,395531,345964,634275,767,389011,694855,71418,22468.6287370996,7482739,49,7.65,90.08,100,NA
2025-2026,July,02,ANDHRA PRADESH,0203,VISAKHAPATANAM,840146,274.10499562269,47,205,710.600651126,457,0,7278,1190222,89720,4360,8336,487,151.40365,4124.4622621263,25013,33972,31900,51043,302,36973,57158,7735,3262.4579610003,880432,59,5.23,97.88,100,NA
